Year,Type,Activity,Sex,Age,Fatality
1929.0,Unprovoked,Swimming,M,,N
1929.0,Unprovoked,Swimming,M,26,N
1929.0,Unprovoked,Bathing,M,,Y
1929.0,Unprovoked,Swimming,M,39,Y
1929.0,Unprovoked,Swimming,M,  ,Y
1929.0,Unprovoked,Bathing,F,,N
1928.0,Unprovoked,Swimming,M,17,Y
1928.0,Unprovoked,Swimming,M,,N
1928.0,Unprovoked,Diving,M,,Y
1928.0,Unprovoked,Bathing,M,15,N
1928.0,Unprovoked,Swimming,F,,N
1928.0,Unprovoked,Swimming,M,,N
1927.0,Unprovoked,Swimming,M,17,Y
1927.0,Unprovoked,Diving,M,,N
1927.0,Unprovoked,Swimming,M,,N
1927.0,Unprovoked,Swimming,M,15,Y
1927.0,Unprovoked,Swimming,M,10,Y
1926.0,Unprovoked,Diving,M,,N
1926.0,Unprovoked,Bathing,M,17,N
1926.0,Unprovoked,Swimming,M,18,Y
1926.0,Unprovoked,Swimming,M,20,Y
1926.0,Unprovoked,Swimming,M,,Y
1926.0,Unprovoked,Swimming,F,,N
1926.0,Unprovoked,Swimming,M,,N
1925.0,Unprovoked,Swimming,F,,N
1925.0,Unprovoked,Swimming,M,16,Y
1925.0,Unprovoked,Swimming,M,A.M.,Y
1925.0,Unprovoked,Swimming,M,,N
1924.0,Unprovoked,Bathing,M,35,Y
1924.0,Unprovoked,Bathing,M,,N
1924.0,Unprovoked,Swimming,M,,N
1924.0,Unprovoked,Swimming,M,22,Y
1924.0,Unprovoked,Swimming,M,,N
1923.0,Unprovoked,Swimming,M,,N
1923.0,Unprovoked,Diving,M,,N
1923.0,Unprovoked,Swimming,M,13,Y
1922.0,Unprovoked,Bathing,F,,Y
1922.0,Unprovoked,Swimming,M,19,Y
1922.0,Unprovoked,Swimming,M,18,N
1922.0,Unprovoked,Swimming,M,,Y
1922.0,Unprovoked,Swimming,M,18,Y
1922.0,Unprovoked,Bathing,M,,Y
1922.0,Unprovoked,Surfing,M,26,Y
1921.0,Unprovoked,Swimming,M,20,N
1921.0,Unprovoked,Swimming,M,21,Y
1920.0,Unprovoked,Diving,M,,N
1919.0,Unprovoked,Swimming,M,29,N
1919.0,Unprovoked,Swimming,M,47,Y
1919.0,Unprovoked,Swimming,M,,N
1919.0,Unprovoked,Swimming,M,,N
1919.0,Unprovoked,Swimming,F,,N
1919.0,Unprovoked,Swimming,F,,N
1918.0,Unprovoked,Bathing,M,22,Y
1918.0,Unprovoked,Surfing,M,,N
1918.0,Unprovoked,Diving,M,,N
1917.0,Unprovoked,Swimming,M,,N
1917.0,Unprovoked,Diving,M,,Y
1917.0,Unprovoked,Swimming,M,,Y
1916.0,Unprovoked,Bathing,M,25,N
1916.0,Unprovoked,Swimming,M,,Y
1916.0,Unprovoked,Bathing,M,27,Y
1916.0,Unprovoked,Swimming,M,,N
1916.0,Unprovoked,Swimming,M,12,N
1916.0,Unprovoked,Swimming,M,10,Y
1916.0,Unprovoked,Diving,M,,N
1916.0,Unprovoked,Bathing,M,,N
1916.0,Unprovoked,Swimming,M,,Y
1916.0,Unprovoked,Swimming,M,24,Y
1916.0,Unprovoked,Swimming,M,10 or 12,N
1916.0,Unprovoked,Swimming,M,,Y
1916.0,Unprovoked,Bathing,M,,N
1915.0,Unprovoked,Diving,M,,N
1915.0,Unprovoked,Bathing,M,10,N
1915.0,Unprovoked,Bathing,M,,N
1915.0,Unprovoked,Swimming,M,,N
1915.0,Unprovoked,Bathing,M,17,Y
1914.0,Unprovoked,Swimming,M,,N
1914.0,Unprovoked,Swimming,M,17,Y
1914.0,Unprovoked,Bathing,M,43,Y
1913.0,Unprovoked,Swimming,M,12,N
1913.0,Unprovoked,Swimming,M,,Y
1913.0,Unprovoked,Diving,M,,N
1913.0,Unprovoked,Swimming,M,,Y
1912.0,Unprovoked,Swimming,M,12,Y
1912.0,Unprovoked,Swimming,M,,N
1912.0,Unprovoked,Bathing,M,,Y
1912.0,Unprovoked,Swimming,M,,N
1912.0,Unprovoked,Swimming,M,18,N
1912.0,Unprovoked,Swimming,M,,N
1912.0,Unprovoked,Swimming,M,21,Y
1912.0,Unprovoked,Bathing,M,,Y
1911.0,Unprovoked,Diving,M,23,N
1911.0,Unprovoked,Bathing,M,,N
1911.0,Unprovoked,Bathing,M,,Y
1911.0,Unprovoked,Bathing,M,64,Y
1911.0,Unprovoked,Swimming,M,,Y
1911.0,Unprovoked,Swimming,M,,Y
1911.0,Unprovoked,Swimming,M,,N
1910.0,Unprovoked,Bathing,M,,N
1910.0,Unprovoked,Swimming,M,,N
1910.0,Unprovoked,Swimming,M,,N
1910.0,Unprovoked,Swimming,M,,UNKNOWN
1909.0,Unprovoked,Swimming,M,16,N
1909.0,Unprovoked,Bathing,F,,Y
1908.0,Unprovoked,Swimming,M,16,Y
1907.0,Unprovoked,Bathing,M,,Y
1907.0,Unprovoked,Bathing,M,,Y
1907.0,Unprovoked,Bathing,M,,N
1907.0,Unprovoked,Swimming,F,,Y
1907.0,Unprovoked,Swimming,F,,Y
1907.0,Unprovoked,Swimming,M,,Y
1907.0,Unprovoked,Swimming,F,,Y
1907.0,Unprovoked,Bathing,M,,N
1907.0,Unprovoked,Bathing,M,18,Y
1906.0,Unprovoked,Swimming,M,,Y
1906.0,Unprovoked,Diving,M,,N
1906.0,Unprovoked,Swimming,M,,Y
1906.0,Unprovoked,Swimming,M,,N
1906.0,Unprovoked,Swimming,M,,Y
1906.0,Unprovoked,Swimming,M,,Y
1906.0,Unprovoked,Swimming,M,,Y
1906.0,Unprovoked,Bathing,M,31 or 33,Y
1905.0,Unprovoked,Swimming,M,,Y
1905.0,Unprovoked,Bathing,M,21,N
1905.0,Unprovoked,Swimming,M,,N
1905.0,Unprovoked,Swimming,M,26,Y
1905.0,Unprovoked,Bathing,M,40,N
1904.0,Unprovoked,Swimming,M,,Y
1904.0,Unprovoked,Swimming,M,,Y
1904.0,Unprovoked,Swimming,M,30,Y
1904.0,Unprovoked,Bathing,M,,Y
1904.0,Unprovoked,Swimming,M,16,Y
1904.0,Unprovoked,Bathing,M,,N
1904.0,Unprovoked,Swimming,M,,Y
1903.0,Unprovoked,Swimming,M,,Y
1903.0,Unprovoked,Bathing,M,,Y
1903.0,Unprovoked,Swimming,M,,Y
1902.0,Unprovoked,Swimming,M,30,Y
1902.0,Unprovoked,Swimming,M,17,Y
1902.0,Unprovoked,Swimming,M,,Y
1902.0,Provoked,Swimming,M,,N
1902.0,Unprovoked,Swimming,M,16,N
1901.0,Unprovoked,Bathing,M,10,N
1901.0,Unprovoked,Swimming,M,Teen,Y
1901.0,Unprovoked,Swimming,M,29,Y
1901.0,Unprovoked,Swimming,M,,N
1901.0,Unprovoked,Bathing,M,,Y
1901.0,Unprovoked,Bathing,M,,N
1900.0,Unprovoked,Bathing,M,,Y
1900.0,Unprovoked,Swimming,M,30,Y
1900.0,Unprovoked,Swimming,M,,N
1900.0,Unprovoked,Diving,M,,UNKNOWN
1900.0,Unprovoked,Bathing,M,,N
1900.0,Unprovoked,Swimming,M,,Y
1900.0,Unprovoked,Swimming,M,,N
